timestamp,cpu,memory,disk_read,disk_write,event
1764965964.9049823,55.9,84.7,1409692258304,718054391808,
1764965965.9063447,32.8,84.4,1409693487104,718054408192,
1764965966.9074252,32.9,78.8,1409693487104,718054596608,
1764965967.9088395,62.8,80.4,1409693487104,718054596608,
1764965968.9098086,43.9,80.6,1409693487104,718054596608,
1764965969.9108682,34.9,81.6,1409693495296,718055145472,
1764965970.9119081,46.0,83.8,1409694109696,718055145472,
1764965971.9131992,54.7,84.2,1409694109696,718055145472,
1764965972.913995,33.3,83.5,1409694724096,718055145472,
1764965973.9149878,35.6,81.9,1409695338496,718055145472,
1764965974.915787,64.3,81.5,1409695363072,718070611968,
1764965975.9172373,47.5,80.4,1409696157696,718070611968,
1764965976.9184964,34.8,81.0,1409696477184,718070611968,
1764965977.919847,46.0,83.3,1409696477184,718070611968,
1764965978.9209232,56.1,83.4,1409697091584,718070611968,
1764965979.9218962,34.3,82.8,1409697878016,718071013376,
1764965980.9235272,35.4,81.3,1409700655104,718071013376,
1764965981.9253924,57.5,79.1,1409700892672,718071013376,
1764965982.926545,43.0,79.1,1409700900864,718071013376,
1764965983.9277492,35.3,80.5,1409700909056,718071013376,
1764965984.9287734,47.7,82.9,1409701531648,718071586816,
1764965985.9297786,54.6,82.7,1409701531648,718071586816,
1764965986.9308045,37.6,81.4,1409701531648,718071586816,
1764965987.9317255,35.8,83.3,1409702137856,718071586816,
1764965988.9332418,59.5,82.5,1409702744064,718071586816,
1764965989.9344993,38.9,79.2,1409703317504,718082482176,
1764965990.9358792,36.3,80.8,1409721708544,718083031040,
1764965991.9371612,49.0,82.6,1409721708544,718083031040,
1764965992.9382536,54.6,83.1,1409722322944,718084071424,
1764965993.9392703,35.7,80.4,1409722322944,718084071424,
1764965994.9404964,36.5,82.8,1409722920960,718084071424,
1764965995.941901,60.9,83.7,1409723658240,718084653056,
1764965996.9428663,37.5,80.3,1409723920384,718084653056,
1764965997.9439702,34.4,80.9,1409723928576,718084653056,
1764965998.9452512,54.4,83.0,1409723936768,718084653056,
1764965999.9462516,49.7,83.3,1409724534784,718084653056,
1764966000.947501,36.6,82.3,1409724534784,718085185536,
1764966001.9490042,37.7,83.4,1409725124608,718085185536,
1764966002.9499152,57.5,83.4,1409725763584,718085185536,
1764966003.950994,36.8,77.6,1409725763584,718085185536,
1764966004.9519753,37.3,79.1,1409725763584,718085185536,
1764966005.953156,58.0,81.6,1409725796352,718096154624,
1764966006.9542203,54.7,81.5,1409725796352,718096154624,
1764966007.9551024,34.4,82.8,1409726377984,718096154624,
1764966008.956012,40.5,82.4,1409726976000,718096154624,
1764966009.9575944,61.6,81.3,1409728794624,718096154624,
1764966010.958536,42.3,77.7,1409730228224,718096842752,
1764966011.959495,34.6,79.3,1409730228224,718096842752,
1764966012.9606314,49.0,81.4,1409730228224,718096842752,
1764966013.9615836,49.7,81.7,1409730228224,718096842752,
1764966014.9629054,34.4,83.2,1409730859008,718096842752,
1764966015.9640822,38.0,82.4,1409731440640,718097309696,
1764966016.9651265,58.5,81.9,1409732022272,718097309696,
1764966017.9661338,35.5,77.9,1409732186112,718097309696,
1764966018.9673896,36.3,79.3,1409732276224,718097309696,
1764966019.9684978,56.9,81.5,1409732276224,718097309696,
1764966020.9694958,50.8,81.7,1409732317184,718109179904,
1764966021.9712949,34.4,84.0,1409732907008,718109179904,
1764966022.9724007,37.3,82.6,1409733619712,718109179904,
1764966023.9735947,59.1,82.7,1409734250496,718109900800,
